district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
2,M,White,0,48,5,31,1950
24,M,White,0,13,1,5,1942
3,F,White,0,7,2,4,1950
15,M,White,0,25,5,13,1946
12,F,White,0,7,2,3,1954
5,F,Black,0,28,2,13,1953
20,M,White,0,7,1,2,1966
1,M,White,0,4,0,4,1944
2,M,White,0,5,2,2,1949
1,M,White,0,11,1,6,1951
8,M,White,0,45,1,27,1949
16,M,White,0,15,1,10,1953
16,M,White,0,0,0,0,1925
5,M,White,0,2,0,1,1940
25,F,White,0,13,0,8,1953
17,F,White,0,4,0,1,1942
25,M,White,0,1,0,1,1935
23,M,White,0,1,0,1,1941
19,M,White,0,1,0,1,1943
22,M,White,0,4,0,2,1950
15,M,Hispanic,0,5,0,4,1949
22,M,White,0,1,0,1,1939
11,M,White,0,2,0,2,1947
13,F,White,0,8,0,5,1962
24,M,White,0,6,0,2,1947
23,M,White,0,5,0,2,1944
18,M,White,0,7,0,2,1955
5,M,White,0,19,0,12,1958
17,M,White,0,2,0,1,1941
13,M,White,0,5,0,4,1950
6,M,Black,0,1,0,1,1939
2,M,White,0,1,0,1,1950
18,M,White,0,2,0,2,1942
24,M,White,0,6,0,3,1942
9,M,White,0,9,0,3,1946
21,M,White,0,16,0,9,1954
24,M,White,0,5,0,1,1951
23,M,White,0,2,0,1,1939
9,M,White,0,3,0,2,1944
13,M,White,0,3,0,1,1943
12,M,White,0,2,0,1,1947
15,M,White,0,7,0,6,1947
23,F,White,0,9,0,4,1950
12,M,White,0,1,0,0,1951
2,M,White,0,2,0,0,1932
7,M,Black,0,1,0,0,1943
16,M,White,0,3,0,0,1948
16,M,White,0,1,0,0,1932
17,M,White,0,0,0,0,1925
25,M,White,0,0,0,0,1936
6,M,Black,0,0,0,0,1923
6,M,White,0,0,0,0,1927
20,M,White,0,0,0,0,1928
18,M,White,0,0,0,0,1936
24,M,White,0,0,0,0,1927
13,M,Black,0,0,0,0,1923
7,M,White,0,0,0,0,1920
25,M,White,0,0,0,0,1924
17,M,White,0,0,0,0,1941
3,M,White,0,0,0,0,1930
13,M,White,0,0,0,0,1937
23,M,White,0,0,0,0,1929
11,M,White,0,0,0,0,1928
11,M,White,0,0,0,0,1924
17,M,White,0,0,0,0,1922
13,M,White,0,0,0,0,1931
5,M,Black,0,0,0,0,1938
1,M,White,0,0,0,0,1951
1,M,White,0,0,0,0,1924
1,M,White,0,0,0,0,1919
1,M,White,0,0,0,0,1923
14,M,White,0,4,1,3,1946
2,M,White,0,6,2,3,1951
8,M,White,0,4,2,1,1951
12,M,White,0,2,0,1,1943
15,M,Black,0,1,0,1,1940
14,M,White,0,2,0,2,1951
11,M,White,0,7,0,4,1952
14,M,White,0,2,0,2,1944
8,M,White,0,2,0,1,1948
14,M,White,0,10,0,6,1946
8,F,White,0,2,0,0,1953
11,M,White,0,1,0,0,1941
12,M,White,0,0,0,0,1921
2,M,White,0,0,0,0,1926
5,M,Hispanic,0,0,0,0,1932
2,M,White,0,0,0,0,1931
8,M,White,0,0,0,0,1928
12,M,White,0,0,0,0,1943
14,M,White,0,0,0,0,1925
14,M,White,0,0,0,0,1927
15,M,White,0,0,0,0,1925
12,M,White,0,0,0,0,1925
8,M,White,0,0,0,0,1928
11,M,White,0,0,0,0,1926
11,M,White,0,0,0,0,1925
5,M,White,0,0,0,0,1926
14,M,White,0,0,0,0,1922
21,M,White,0,2,1,1,1948
21,M,White,0,4,0,3,1947
21,M,White,0,0,0,0,1933
21,M,White,0,0,0,0,1925
21,M,White,0,0,0,0,1918
5,M,Asian/Pacific,0,14,0,2,1979
10,F,White,0,39,0,7,1979
8,M,White,0,10,0,5,1978
11,M,Asian/Pacific,0,18,0,2,1977
9,M,White,0,26,0,7,1967
24,M,White,0,10,0,2,1974
3,F,Black,0,4,0,1,1984
9,M,White,0,23,0,8,1969
19,M,White,0,6,0,1,1976
18,F,Black,0,16,0,2,1979
10,M,Hispanic,0,22,0,9,1974
3,F,Black,0,7,0,0,1982
15,M,Black,0,5,0,0,1972
18,M,White,0,5,0,0,1977
7,M,White,0,28,2,13,1949
9,M,White,0,16,0,5,1970
24,M,White,0,23,0,14,1954
13,M,White,0,20,1,14,1952
18,M,White,0,0,0,0,1948
2,M,Black,0,33,6,20,1958
2,M,Black,0,17,0,8,1963
25,F,White,0,4,1,1,1956
5,F,Black,0,4,1,2,1942
18,M,White,0,9,1,4,1947
4,M,White,0,39,1,21,1972
1,M,White,0,17,4,6,1955
1,M,Black,0,13,5,1,1961
10,M,White,1,10,0,7,1946
4,M,Hispanic,1,7,0,3,1952
9,M,White,0,0,0,0,1940
20,M,White,0,0,0,0,1939
17,M,White,0,0,0,0,1949
10,M,White,1,0,0,0,1939
19,M,White,0,0,0,0,1950
24,M,White,0,0,0,0,1929
3,M,White,0,0,0,0,1946
3,M,White,0,0,0,0,1918
24,M,White,0,0,0,0,1922
3,M,White,0,0,0,0,1953
18,M,White,0,0,0,0,1952
20,M,White,0,0,0,0,1923
23,M,White,0,0,0,0,1920
4,M,Black,1,0,0,0,1925
4,M,White,1,0,0,0,1928
24,M,White,0,0,0,0,1951
16,M,White,0,0,0,0,1934
16,M,White,0,0,0,0,1924
13,F,Hispanic,0,0,0,0,1954
9,M,White,0,0,0,0,1925
24,M,White,0,0,0,0,1948
15,M,White,0,0,0,0,1981
1,M,White,0,0,0,0,1924
1,M,White,0,0,0,0,1922
10,M,Black,1,0,0,0,1921
14,M,Hispanic,0,1,0,0,1974
15,M,White,0,44,1,24,1943
14,M,White,0,0,0,0,1945
8,M,White,0,33,6,16,1948
1,M,White,0,14,1,10,1948
3,M,Black,0,1,1,0,1964
7,M,Black,0,5,3,1,1945
20,M,White,0,13,1,8,1947
11,M,Black,0,14,1,10,1948
11,M,White,0,25,6,11,1946
2,M,Black,0,35,8,19,1949
14,M,Hispanic,0,14,1,7,1959
18,M,White,0,15,2,7,1965
7,M,White,0,3,0,2,1981
11,M,Black,0,16,3,6,1950
8,F,White,0,21,2,14,1956
19,F,White,0,4,2,0,1954
4,M,Black,0,7,1,2,1977
19,M,Hispanic,0,6,0,3,1978
16,M,White,0,2,0,1,1952
18,M,Asian/Pacific,0,3,0,2,1957
7,M,White,0,1,0,0,1985
12,M,White,0,2,0,1,1981
18,F,Black,0,6,0,4,1963
16,F,White,0,14,0,11,1960
21,M,Black,0,9,3,4,1952
8,M,Hispanic,0,54,14,31,1958
12,M,Hispanic,0,2,1,1,1975
11,M,Black,0,32,3,20,1946
6,F,Black,0,6,2,0,1965
19,M,White,0,8,0,5,1950
